candidate,state,e_day_mu,e_day_sigma,run_date
Harris,Wisconsin,-0.2055918554152233,0.1919147285683807,2024-09-10
Biden,Wyoming,-1.1759670677288805,0.270811767312104,2024-09-10
Harris,Wyoming,-1.3309469486733851,0.3046501877768964,2024-09-10
Biden,Alabama,-0.672404919536787,0.2119268821756043,2024-09-11
Harris,Alabama,-0.7900109241576503,0.2261353150400491,2024-09-11
Biden,Alaska,-0.36122664007859334,0.19505457422695355,2024-09-11
Harris,Alaska,-0.4653614838579202,0.20399441314346087,2024-09-11
Biden,Arizona,-0.12286240769270404,0.1906395693361637,2024-09-11
Harris,Arizona,-0.22973673715108017,0.19463185031258248,2024-09-11
Biden,Arkansas,-0.7171328969502685,0.21582072665030505,2024-09-11
Harris,Arkansas,-0.8410786750730035,0.229456265540029,2024-09-11
Biden,California,0.5173282053636254,0.20144655619536816,2024-09-11
Harris,California,0.40835814480646954,0.201010972780332,2024-09-11
Biden,Colorado,0.1290360517375614,0.19108821046900848,2024-09-11
Harris,Colorado,0.02607428597687323,0.19075416684580915,2024-09-11
Biden,Connecticut,0.27577639482716343,0.19252848746620152,2024-09-11
Harris,Connecticut,0.169174902704727,0.19061760351172588,2024-09-11
Biden,Delaware,0.2482592766925187,0.19215925969247857,2024-09-11
Harris,Delaware,0.1387370308139397,0.19305803583994377,2024-09-11
Biden,District of Columbia,2.6130758288814837,0.815910904966215,2024-09-11
Harris,District of Columbia,2.273778623406089,0.6568859371255137,2024-09-11
Biden,Florida,-0.16427938114597362,0.1897287956622209,2024-09-11
Harris,Florida,-0.27344642551663456,0.19553309101473185,2024-09-11
Biden,Georgia,-0.12964376251752938,0.1881397547837966,2024-09-11
Harris,Georgia,-0.2325760254378077,0.19317442272256283,2024-09-11
Biden,Hawaii,0.5395269183222744,0.20604506651656937,2024-09-11
Harris,Hawaii,0.4279161412277658,0.202205294469926,2024-09-11
Biden,Idaho,-0.8221812411163777,0.22925128459532984,2024-09-11
Harris,Idaho,-0.9513778168774608,0.24071524473150027,2024-09-11
Biden,Illinois,0.24711137851182816,0.19082997419512604,2024-09-11
Harris,Illinois,0.14060316324836084,0.19038689020861516,2024-09-11
Biden,Indiana,-0.47124150327024866,0.19817850200214915,2024-09-11
